# ability.json.decrypted.txt

Расшифрованное представление из ability.json.bytes (структурированные записи):
index	id	type	size	name	keys
0	1459903566	2727259016	1047262425	ОБНОВИТЬ	DlO`
1	1136825802	1145131199	3678536860	НАВЫК	8yD
4	618794750	4164433602	3007592020	СОКРОВИЩЕ	1"#
5	4237676803	3176941706	2630216848	ВЕТКА	^ha78H
7	917140369	4098182552	486759623	ГЕРОЙ	&Yr[
8	2456205881	799347139	1090257018	ОБЩИЙ	<FB
9	2157336476	4250476626	2844816597	РЕДКИЙ	KOY
12	3163934086	1670616328	3480610005	ЭПИК	=It
16	2615911044	3735874312	198269662	МИФИЧЕСКИЙ	w^i
17	1469027454	2154257545	1893076461	ФАЗА	N=.
18	759714082	2417002052	2264740324	вы получили:	0, 
19	3021336995	2618065469	550403178	Зайдите в	r]j?
20	780849390	1813509012	1823340018	коллекции	itY
21	1008410603	1122515158	203842527	зала	^{),*Q;
24	2051143148	1642193586	164057397	чтобы проверить!	3d>
28	3751985467	3691410708	2220434863	ПОЛУЧИТЬ НАВЫКИ:	{qI
29	4170805061	1874233719	1971833167	получил	IVc
31	575058131	3369740776	3347126071	потерял	oqe,;#3t
34	3198279800	1041795988	1621099175	потерян	J%[,}c>
35	2644558584	230930334	2080171122	Выручка за этот раунд	nf+,|k'
37	821733848	950881080	2970147840	БАЗОВЫЙ	mbK
40	613484849	2951338636	1901018273	ПОБЕДА	2x<T
41	1822022932	522777920	137138914	ПОРАЖЕНИЕ	cQc
42	254231837	3883811620	568355091	ИНТЕРЕС	{mu
44	2953957980	2781684667	3792618791	ГАЛСТУК!!!	^3W
47	1289373430	687831081	3905260213	раунд	cWd
49	406164007	192093933	3524081971	противник	HF'
50	465986440	3411691423	1723904793	Можно использовать только на этапе подготовки!	1fM
51	4255672645	3376093268	3019648857	Недостаточно	gI4q,EJ[0,!e&
56	3141966327	2379733485	4071907795	исчерпан	~kz
58	610942388	1464361356	2143462145	Нет навыков	hoK.eOQ
62	298837541	363392290	1386281666	Не удалось получить	J;d6,C(Q
63	2455843120	979602012	3435857514	доступен для копирования	D+!Am
65	1373467564	3212407092	1944310060	был использован!	(]^
66	3909817185	2810763275	3444695746	Использований не осталось!	dPL,Y/q
68	3716943425	2110222080	2204762428	был использован в этом раунде.	Sz_
70	621587622	2981638040	2768149738	Вы не изучили никакую	CEn,b4x
71	3093001970	3490861300	144651405	Можно использовать только при не полном	<)\
72	2910293567	870363008	1542802742	РАУНД-	A/`O
74	272000647	3154418160	3776856797	раунд---	U$N
80	2435982636	3282870891	3152426873	Общий урон игрока увеличен! Минимальный урон увеличен до	?5I
82	4165293907	3258678416	2036817689	Матч завершился. Нажмите	-%:b
84	3911494195	2164851422	4258779975	ВЫХОД	]-t
90	4027039245	2876852839	3009126761	чтобы вернуться!	YyM
95	3716801809	730795328	353799166	покинул игру!	!],x"Lyg
98	2600137694	3117788915	3248575761	Восстановление соединения..	CO&
99	4219398126	399349881	504459103	Текущая битва превысила лимит времени. Игрок с более высоким процентом оставшегося	h>I
103	1677814997	3034791214	1335383475	станет победителем!!!	n^~
105	1075975123	2015980415	752122036	Битва продолжается слишком долго	L,%mt_,Q'4
106	3002850250	2670098706	3770813763	теперь оно будет ускорено!	F4y
108	32961304	659936355	868087202	ВЫБЕРИТЕ	LXi,b(W
109	2668796220	696287312	1247248666	Подготовка к битве	\!=
110	3883228978	3373110791	2162671022	Битва скоро начнется	rNB
112	1263020774	2953700304	790678205	ОППОНЕНТ ПОДТВЕРЖДАЕТ	=y6=E
115	1089157850	1455986822	1948004405	ВРЕМЯ ВЫШЛО	y3O
117	689481053	1942683082	3203341283	БИТВА	MPl
120	4247417098	587785058	311960235	БИТВА ЗАКОНЧЕНА	}jT
122	4024572101	3609514571	2490375253	Увеличение магического урона:	lZ<
123	2579885977	162181370	1374224330	Всего	WM~
125	1232649694	235496214	2007762120	Разграблено:	}SL
126	417141018	790885797	2653305043	Бонус:	u3pm
128	3084472720	598820405	3585430194	Итого	s#w,l@I
129	2580508027	3102547006	994422824	Доход:	m4l
133	4209666162	3511470434	1944578847	Расходы:	m5*8;
135	3819118106	2201022157	422575025	Потерянное	jhS
138	3852425198	4007110669	597408731	игрока:	ffj
141	1284826434	3955161021	3375504248	Всего бесплатно	AD3G
