index,name,keys,id,type,size
0,ОБНОВИТЬ,DlO`,1459903566,2727259016,1047262425
1,НАВЫК,8yD,1136825802,1145131199,3678536860
4,СОКРОВИЩЕ,"1""#",618794750,4164433602,3007592020
5,ВЕТКА,^ha78H,4237676803,3176941706,2630216848
7,ГЕРОЙ,&Yr[,917140369,4098182552,486759623
8,ОБЩИЙ,<FB,2456205881,799347139,1090257018
9,РЕДКИЙ,KOY,2157336476,4250476626,2844816597
12,ЭПИК,=It,3163934086,1670616328,3480610005
16,МИФИЧЕСКИЙ,w^i,2615911044,3735874312,198269662
17,ФАЗА,N=.,1469027454,2154257545,1893076461
18,вы получили:,"0, ",759714082,2417002052,2264740324
19,Зайдите в,r]j?,3021336995,2618065469,550403178
20,коллекции,itY,780849390,1813509012,1823340018
21,зала,^{)|*Q;,1008410603,1122515158,203842527
24,чтобы проверить!,3d>,2051143148,1642193586,164057397
28,ПОЛУЧИТЬ НАВЫКИ:,{qI,3751985467,3691410708,2220434863
29,получил,IVc,4170805061,1874233719,1971833167
31,потерял,oqe|;#3t,575058131,3369740776,3347126071
34,потерян,J%[|}c>,3198279800,1041795988,1621099175
35,Выручка за этот раунд,nf+||k',2644558584,230930334,2080171122
37,БАЗОВЫЙ,mbK,821733848,950881080,2970147840
40,ПОБЕДА,2x<T,613484849,2951338636,1901018273
41,ПОРАЖЕНИЕ,cQc,1822022932,522777920,137138914
42,ИНТЕРЕС,{mu,254231837,3883811620,568355091
44,ГАЛСТУК!!!,^3W,2953957980,2781684667,3792618791
47,раунд,cWd,1289373430,687831081,3905260213
49,противник,HF',406164007,192093933,3524081971
50,Можно использовать только на этапе подготовки!,1fM,465986440,3411691423,1723904793
51,Недостаточно,gI4q|EJ[0|!e&,4255672645,3376093268,3019648857
56,исчерпан,~kz,3141966327,2379733485,4071907795
58,Нет навыков,hoK.eOQ,610942388,1464361356,2143462145
62,Не удалось получить,J;d6|C(Q,298837541,363392290,1386281666
63,доступен для копирования,D+!Am,2455843120,979602012,3435857514
65,был использован!,(]^,1373467564,3212407092,1944310060
66,Использований не осталось!,dPL|Y/q,3909817185,2810763275,3444695746
68,был использован в этом раунде.,Sz_,3716943425,2110222080,2204762428
70,Вы не изучили никакую,CEn|b4x,621587622,2981638040,2768149738
71,Можно использовать только при не полном,<)\,3093001970,3490861300,144651405
72,РАУНД-,A/`O,2910293567,870363008,1542802742
74,раунд---,U$N,272000647,3154418160,3776856797
80,Общий урон игрока увеличен! Минимальный урон увеличен до,?5I,2435982636,3282870891,3152426873
82,Матч завершился. Нажмите,-%:b,4165293907,3258678416,2036817689
84,ВЫХОД,]-t,3911494195,2164851422,4258779975
90,чтобы вернуться!,YyM,4027039245,2876852839,3009126761
95,покинул игру!,"!],x""Lyg",3716801809,730795328,353799166
98,Восстановление соединения..,CO&,2600137694,3117788915,3248575761
99,Текущая битва превысила лимит времени. Игрок с более высоким процентом оставшегося,h>I,4219398126,399349881,504459103
103,станет победителем!!!,n^~,1677814997,3034791214,1335383475
105,Битва продолжается слишком долго,"L,%mt_|Q'4",1075975123,2015980415,752122036
106,теперь оно будет ускорено!,F4y,3002850250,2670098706,3770813763
108,ВЫБЕРИТЕ,LXi|b(W,32961304,659936355,868087202
109,Подготовка к битве,\!=,2668796220,696287312,1247248666
110,Битва скоро начнется,rNB,3883228978,3373110791,2162671022
112,ОППОНЕНТ ПОДТВЕРЖДАЕТ,=y6=E,1263020774,2953700304,790678205
115,ВРЕМЯ ВЫШЛО,y3O,1089157850,1455986822,1948004405
117,БИТВА,MPl,689481053,1942683082,3203341283
120,БИТВА ЗАКОНЧЕНА,}jT,4247417098,587785058,311960235
122,Увеличение магического урона:,lZ<,4024572101,3609514571,2490375253
123,Всего,WM~,2579885977,162181370,1374224330
125,Разграблено:,}SL,1232649694,235496214,2007762120
126,Бонус:,u3pm,417141018,790885797,2653305043
128,Итого,s#w|l@I,3084472720,598820405,3585430194
129,Доход:,m4l,2580508027,3102547006,994422824
133,Расходы:,m5*8;,4209666162,3511470434,1944578847
135,Потерянное,jhS,3819118106,2201022157,422575025
138,игрока:,ffj,3852425198,4007110669,597408731
141,Всего бесплатно,AD3G,1284826434,3955161021,3375504248
144,Полученные шансы:,*<u1O,4098200399,3647344057,84429114
147,Награды:,e`W,1430615571,987051579,2787878309
148,Общий дополнительный,=5D|9)\1+,2411912384,3542995715,3690297036
150,Взятый:,wjvGI,3778238848,124835145,186829372
154,Общее использование:,`Lc{,2648667663,3211287079,1741384034
155,Шансы:,kDs,3948718222,364664911,1419095289
157,Недавние,ulz*O||PQ,3965678867,2347332660,3830593243
158,Оставшиеся шансы:,FtzJ,1422047943,105375880,936800580
162,Оставшиеся свободные шансы:,l;',3476840395,1534500443,3451976121
163,Счастливчик,nIx,3344542361,170141794,2246695472
164,Вы выбрали,w\pz,3556404267,1161323732,537092525
165,как счастливчика,v(z,1112503420,982641991,1674195525
166,того же,l*$,3549593042,451985485,38595645
169,"подряд, давая случайную",ep6,3627410926,2006171542,402017544
172,В настоящее время забанен,X`/v,3266276932,1062594023,471352837
174,Использовал,E(',3621315015,737849761,1270286810
175,Вы отключили появление,"v6L~""hF",3312016470,866854991,4211033511
178,Чаша,>Fv,271374214,3686987344,3968947533
184,заявлено!,fzvtE|m>.O,1650166205,1916201938,2830942156
185,доход достиг максимума. Автоматически получено все,+ck,2710427818,809467717,1755035546
187,Подсказка,7ze,3198973570,1092329531,3580396471
188,Получено таинственное сокровище,j]1,1172616863,1145146704,532360114
189,Таинственная,(jZko,2585600703,2146658236,3830908992
195,найден:,#jpE,1747976368,508618488,3893355896
196,Найдите,06V|5V*,1368409936,2635748641,3148881086
200,загадочного,=uP|C=*|TI;Ab,2469397531,4066380727,1248780464
202,найти сокровище!,!_W,3843476391,274372608,2441919397
206,Выбрано,2Pb,3561231957,3597009852,2181314942
208,Использование:,B[Z|eu=,410369244,185912329,1671460440
209,Цена:,akq,569028395,2799190442,3767451521
211,Получите,b>A^X,2132668040,660795864,2310911595
214,раундах,`2(Z,2539936511,688364618,2361153339
216,Нет назначенного,+~[,4107696499,3329003798,2682786399
217,Получит,vW4>u,1863770798,1605679668,3217421934
218,случайно.,=\_i,3938792051,1749634539,2316548857
220,Куплено в этом раунде:,x^q,1931534720,2837473118,1933632088
228,Эффект сработал в этом раунде,N=D[,165087239,2786280067,1295670160
232,В этом раунде:,Y07$E9PT,1534564151,2242338480,2890118782
233,Количество обновлений:,U?@,857803805,2060076029,950794641
235,украл,Z^l|eBg,862665949,202903620,4287794666
236,пользователя,.og|sPf|Hj?|][Z,2592486758,1687708791,3028381196
237,выбор,(To,3884908595,1381108690,3173707495
238,Вы сделали ставку на,Sk-,2686783140,3938754897,2563093125
240,"и будете получать награды каждый раз, когда они выигрывают битву!",a}?|dAq,3488244638,50456757,1434793134
241,Назначенная ветка,Xze,3100462795,3000867588,2644575016
244,Вы установили,xo6,4244156955,35998499,334152559
247,в качестве назначенной ветки!,&>+,3806516158,855498868,4060091435
248,Вы получили,pW&,2643166539,4006134697,347271362
252,УВОРОТ,P<N,2450108705,1397524678,229292331
253,Достигнут максимальный лимит раундов!,<-J|eu+,3345340022,206516087,2732065976
254,Макс,#n3%,1193858091,2631800085,645319736
256,повысился.,OfL,3991743077,3233345536,3889298655
257,"Невозможно просмотреть информацию о ветке, отличной от основной ветки других игроков.",DSJ|TnGy,1424718123,1691724955,2953044597
258,Этот игрок исключен.,~t*,3033487888,1210347999,1901027306
260,УРОВЕНЬ,-z.4{gjh,4020436824,3123133795,49783083
262,Еще не разблокирован,hnh,203894305,183797452,2914050904
263,Для разблокировки необходимо получить привилегию в Руководстве по Сезону.,~$\,3138446319,902052752,295511018
266,ПРИВИЛЕГИЯ,*en,3138770127,1815974005,409320468
267,Жду других игроков,XYZ<~,1659195723,2197822061,243955721
268,ДОЛЯ ДМГ:,<6r,3223997635,2163417423,2914640445
270,Недостаточное количество предметов. Не удалось обновить!,'|\,4052702786,2177249682,2433585516
272,Достигнут предел обновления!,v]:W|g3jI,529864472,2828325257,308616796
275,Выбрать ветку,\L5,398899400,3538460521,996706076
277,Выбери игрока.,SwX,1693826306,2760604216,834031840
280,ЯРОСТЬ,zZs|,3107495790,3888779499,2804220846
283,текущий бонус к урону составляет,qMO,3547763355,543736716,2358755152
285,Начать учебное пособие для новичков?,h\~,4048123889,3913296833,315378089
286,Успешно изменено!,rZW,3430985345,2874103198,971238039
289,Изучите навык,h]O$X,1582180403,2837784861,2795961130
290,не завершено,"|g)h|,B2|7~o",2136618081,1007733144,1280843674
293,Завершено,?0lz|:%2,2801444232,3932366738,1813662326
295,Улучшите любую ветку навыков до,N&`b,1888515305,4069444071,2921584456
296,звезды,I'sM5,513633725,163141140,3236859473
300,Изучите,rEC,4003135314,3287465397,2013785869
301,редкий навык,"Vz""",3999476727,759630803,3294692565
303,неполный,gP/,3048007680,4123790328,1724790909
304,Улучшите любой навык до максимума,>g&,3998941115,3287195861,1191966720
305,Улучшите ветку навыков до,NzTr|WYo,1674938301,708219760,3757958175
308,звездочного,5eg,3899183223,285159924,1069626068
310,звезд,3a&|)g&,3234530224,2324835095,4072432222
311,Изучите мифический навык,Q>_,3421135084,88300784,2600818595
313,завершено,f\y,856052264,2836416322,3199375007
315,СИСТЕМА,aO4N,3471123116,899490375,2995175764
316,Т О БОЕ,xK.D,1701645994,2782557701,3219161913
319,СОВЕТЫ,DVM,2192199465,860360021,3445447946
320,УВЕДОМЛЕНИЕ,KLH,3190898312,2383662886,1032575171
321,КОМАНДА,y&.57E,3341015975,4153883476,316819074
322,МЕСТНЫЙ,_9~,962743604,2108590782,4219532371
323,БОЕВОЙ,"05{,gu",679784682,1908444385,415435457
325,НЕИЗВЕСТНЫЙ,r)3,162202775,2322425637,2616934049
328,Из-за нарушения вами принципов гармоничного общения вы будете лишены возможности говорить до,..T#,3584503761,2874137578,2232155963
331,Вы находитесь в состоянии молчания. На вас пожаловались несколько пользователей!,!gg,304186690,2093202365,4096747725
332,Максимальный уровень Пути Славы должен достигнуть уровня,"nH}""V",319873706,1089054097,2692498495
334,прежде чем вы сможете общаться в мире!,UrhM,566033096,2238364259,2721928599
335,пожаловались несколько игроков поэтому его лишили возможности говорить!,@@sm8,2191658359,2754929127,2164288635
336,Вы уже сообщали о этом игроке.,40*x,3376307932,3065279625,1548697575
337,Жалоба успешно отправлена. Благодарим вас за вклад в гармоничную среду общения.,`VMEZ,903228424,1297147741,2143091123
338,Вы подтверждаете жалобу:,esU-,673808155,2426353794,2150446448
339,Жалоба на высказывание:,K{7|/9R,3380360874,1923632245,2284798040
341,Мировой чат временно закрыт!,YSL),3318518351,109139422,3520225130
344,"Невозможно подключиться, проверьте настройки сети.",<a~kW,3089107869,2264089224,344686225
345,ВХОД...,vUi,1857009568,1871061319,3962557430
346,УСПЕХ,4V#,1308547577,2981875233,2920678834
349,СООТВЕТСТВОВАТЬ,"|wn,e{5\FN",3044008985,3636151935,3282104788
351,ОБУЧЕНИЕ,\M6,268569126,2480461592,1636990381
352,Обычная команда,&[ a|wZP=,2365591744,1632817351,1206218963
354,Обычная,bk#}|#|7,3696823762,728278982,1500487408
355,Ошибка длины имени.,W'I*,3089988929,3749969201,2887977598
357,Имя содержит недопустимые символы.,p*0,2819709926,1889459190,2468174174
358,Занято,T_G,585165485,404781974,2526133185
359,Неизвестная ошибка,DZ&h),2871062541,912531208,1168948765
365,"Пожалуйста, настройте заново.",Fy`,3855190962,3171507268,4041524704
366,Через ежедневные награды,}B{,1108126836,1981165387,1535025068
369,Из наград Руководства по Сезону,Wxj,1130463104,1091272888,1689628586
370,Через подарочный код,(Y7^,55345357,130470254,3379614128
371,Через карту месяца,Rh1 ,2420226056,2518637383,2682312873
374,Через сезонное урегулирование,=_v,2468036430,3175081674,1320638793
375,Через магазин,9ug}|/on|>eb,17176929,3756620808,3014200585
377,Через коллекцию,S0P,2995731962,3415599684,3231756198
379,Награда за закрытый бета - тест,![YXK|:l.,3011368918,1772618964,1082880606
382,"Пожалуйста, разблокируйте",6Q:,1614010033,406651939,2485059
384,ОСТАЛОСЬ ВРЕМЯ:,bKm2d,1236659319,345119979,943270093
387,КУПЛЕНО,6<D,4187956892,687132329,27194224
389,Получил,v~^,3948411555,3087285244,4094863120
