offset,byte,uint16,uint32,float32
0,2,33026,1342472450,8892188672.0
4,43,28459,2186243883,-1.523986180616032e-37
8,215,31703,3846798295,-5.9467506560036445e+22
12,45,36653,2050658093,2.421677913820283e+35
16,47,13103,2676437807,-5.725940009252685e-20
20,63,46399,1687270719,2.150270438505826e+22
24,210,63954,411695570,3.566592402658902e-24
28,0,17920,2468300288,-2.010313409342596e-27
32,49,33585,1867875121,6.607890777027368e+28
36,108,40300,3061489004,-3.7344534575822763e-06
40,63,53823,4095988287,-5.191703401685682e+31
44,210,23250,3021953746,-1.4841069173598953e-07
48,80,44624,852012624,2.336233251298836e-08
52,130,41602,442475138,4.624659191534731e-23
56,230,8934,1356014310,28338237440.0
60,46,11822,3490328110,-9273128960.0
64,135,51591,943901063,4.6440891310339794e-05
68,70,13126,3682612038,-7.217034551938253e+16
72,233,55785,4012562921,-5.2875888883875545e+28
76,81,14673,3204987217,-0.5321245789527893
80,205,57293,2627461069,-1.0314890741696362e-21
84,253,17149,3825156861,-9.417493506343093e+21
88,43,32555,2704506667,-6.08158644286683e-19
92,61,33341,3749151293,-1.783488454454988e+19
96,17,59921,3236751889,-7.4035725593566895
100,85,57429,3224559701,-2.7949421405792236
104,239,54511,1195889903,51156.93359375
108,198,46022,3098719174,-8.52118682814762e-05
