index,id,type,size
0,1459903566,2727259016,1047262425
1,1136825802,1145131199,3678536860
2,1024081177,3667229037,3324366320
3,2620743349,1695136576,3165779664
4,618794750,4164433602,3007592020
5,4237676803,3176941706,2630216848
6,1614082161,857848659,4036991866
7,917140369,4098182552,486759623
8,2456205881,799347139,1090257018
9,2157336476,4250476626,2844816597
10,2918900317,2419866855,1987770023
11,3538591626,1975124466,2375773814
12,3163934086,1670616328,3480610005
13,798465310,1394499774,3803121861
14,2646656193,2116206946,737169519
15,3899544949,3352116964,3092659198
16,2615911044,3735874312,198269662
17,1469027454,2154257545,1893076461
18,759714082,2417002052,2264740324
19,3021336995,2618065469,550403178
20,780849390,1813509012,1823340018
21,1008410603,1122515158,203842527
22,2471903468,1525762877,2564996435
23,387062111,3317828237,939222522
24,2051143148,1642193586,164057397
25,3220877553,2971842703,4268434889
26,4278933887,767119005,3583716071
27,3631451887,2639321029,1532682635
28,3751985467,3691410708,2220434863
29,4170805061,1874233719,1971833167
30,1192677854,3066303120,4123430783
31,575058131,3369740776,3347126071
32,1168540091,548322010,1269748051
33,3097777682,131078778,629378673
34,3198279800,1041795988,1621099175
35,2644558584,230930334,2080171122
36,560817713,3032813588,779372557
37,821733848,950881080,2970147840
38,588654223,1043398865,3297167883
39,2243912795,1891964610,2100911523
40,613484849,2951338636,1901018273
41,1822022932,522777920,137138914
42,254231837,3883811620,568355091
43,564785267,2268709896,4063426059
44,2953957980,2781684667,3792618791
45,2871805703,2847113955,3014164072
46,1867789159,1112080345,478769881
47,1289373430,687831081,3905260213
48,2312088288,3403502039,3759576338
49,406164007,192093933,3524081971
50,465986440,3411691423,1723904793
51,4255672645,3376093268,3019648857
52,2460471228,2486466501,2522906061
53,752668248,2797505245,1370920597
54,4079459107,110195359,3304940694
55,3585745558,1253257003,2864515718
56,3141966327,2379733485,4071907795
57,442244821,976585871,3377130328
58,610942388,1464361356,2143462145
59,3465486303,2554918898,2752334661
60,61227360,2206417556,4038819597
61,4260531693,574015814,669392737
62,298837541,363392290,1386281666
63,2455843120,979602012,3435857514
64,582342172,2313214662,945583399
65,1373467564,3212407092,1944310060
66,3909817185,2810763275,3444695746
67,2320240188,40737363,2047327439
68,3716943425,2110222080,2204762428
69,828894435,3108078951,3072492717
70,621587622,2981638040,2768149738
71,3093001970,3490861300,144651405
72,2910293567,870363008,1542802742
73,2021648012,434869136,3173175272
74,272000647,3154418160,3776856797
75,1081568075,4083729633,2495644472
76,3993592095,3658852662,2119041836
77,501031306,2319241218,1553160212
78,3543526606,2772076502,383049296
79,3442313733,3757678809,2634294913
80,2435982636,3282870891,3152426873
81,1490247148,3725733833,3431532145
82,4165293907,3258678416,2036817689
83,2811006782,3720577487,287635098
84,3911494195,2164851422,4258779975
85,880736784,279974300,1459039414
86,2319645223,3189767057,4086996213
87,3478183817,1369258743,593031345
88,1189525970,1979944428,3641594232
89,2917877998,475814342,3669649304
90,4027039245,2876852839,3009126761
91,3491280612,173989740,1901375661
92,1220128433,3340798134,601463616
93,3469009242,454523796,4137565072
94,4060899399,78752132,1337423039
95,3716801809,730795328,353799166
96,3501779445,1483901296,3360662796
97,1749994244,1264838437,594308011
98,2600137694,3117788915,3248575761
99,4219398126,399349881,504459103
100,2951392515,3049192540,214916259
101,3445749427,547086018,1523862524
102,2494747075,1175659252,2982900998
103,1677814997,3034791214,1335383475
104,634092324,2311475622,391949793
105,1075975123,2015980415,752122036
106,3002850250,2670098706,3770813763
107,744600725,1543921027,3699415454
108,32961304,659936355,868087202
109,2668796220,696287312,1247248666
110,3883228978,3373110791,2162671022
111,2136800308,277698077,3013193816
112,1263020774,2953700304,790678205
113,1334898582,4060077960,3635047716
114,1456253359,1681058383,1615731638
115,1089157850,1455986822,1948004405
116,2385520501,1889133126,1660637280
117,689481053,1942683082,3203341283
118,3850927893,2867169906,3507844771
119,523406153,1362367467,2496291554
120,4247417098,587785058,311960235
121,3522527144,362046082,2168624641
122,4024572101,3609514571,2490375253
123,2579885977,162181370,1374224330
124,3670006601,1618495283,3149563551
125,1232649694,235496214,2007762120
126,417141018,790885797,2653305043
127,2237200284,1076429906,3824014298
128,3084472720,598820405,3585430194
129,2580508027,3102547006,994422824
130,2386993344,27947967,3981770643
131,3210794464,51106016,3382641034
132,1376551298,2459111358,2713287788
133,4209666162,3511470434,1944578847
134,888339882,4110937326,292208865
135,3819118106,2201022157,422575025
136,3268873511,2516755982,419159852
137,2554160694,464070813,129411017
138,3852425198,4007110669,597408731
139,3358376229,3402533520,510692149
140,1561407530,2485527409,2445234172
141,1284826434,3955161021,3375504248
142,192591939,4013145071,2037991322
143,3626232245,865820465,638043700
144,4098200399,3647344057,84429114
145,3352795097,4187163683,4274913295
146,3081037215,2785252398,1970402171
147,1430615571,987051579,2787878309
148,2411912384,3542995715,3690297036
149,3706237446,1486527249,2800517393
150,3778238848,124835145,186829372
151,1141421295,964932884,3746623445
152,388563647,3889934005,124309123
153,615106121,4088891496,3338057272
154,2648667663,3211287079,1741384034
155,3948718222,364664911,1419095289
156,2298976412,642886275,4055911868
157,3965678867,2347332660,3830593243
158,1422047943,105375880,936800580
159,898216685,2392733746,3965553388
160,210577134,3864385118,2388801898
161,391750528,41259927,165371293
162,3476840395,1534500443,3451976121
163,3344542361,170141794,2246695472
164,3556404267,1161323732,537092525
165,1112503420,982641991,1674195525
166,3549593042,451985485,38595645
167,115442270,3488207754,2829676528
168,4094595377,1502494372,803776116
169,3627410926,2006171542,402017544
170,2762978496,2651571746,3692602860
171,1136207494,1055192950,3458004271
172,3266276932,1062594023,471352837
173,3257129149,2254696361,3447243139
174,3621315015,737849761,1270286810
175,3312016470,866854991,4211033511
176,3724145701,2003892664,1886588433
177,2907926212,4207508288,3789878293
178,271374214,3686987344,3968947533
179,1429194305,4090128879,3579244112
180,298757592,3928824503,1340247284
181,1154054058,3668010446,948179151
182,3954525523,781887593,3222161359
183,2499637821,2605930632,1233785604
184,1650166205,1916201938,2830942156
185,2710427818,809467717,1755035546
186,1803010721,907169078,878729767
187,3198973570,1092329531,3580396471
188,1172616863,1145146704,532360114
189,2585600703,2146658236,3830908992
190,2542547526,2380618200,834174763
191,1989743164,2564452603,1481943260
192,260266788,2474616988,1300509277
193,214052938,2209402401,196975690
194,3927861262,1993972531,1016270431
195,1747976368,508618488,3893355896
196,1368409936,2635748641,3148881086
197,6040001,765289891,2664144994
198,2953824108,2943050645,3859692356
199,1471234581,1981873983,1082073211
200,2469397531,4066380727,1248780464
201,2612986229,2903140296,352952527
202,3843476391,274372608,2441919397
203,2216742125,2148676061,2156835618
204,39292009,334221770,1113222356
205,508265690,2336837482,1089265326
206,3561231957,3597009852,2181314942
207,2687300280,879278887,1211398314
208,410369244,185912329,1671460440
209,569028395,2799190442,3767451521
210,3128744182,875083109,1059365801
211,2132668040,660795864,2310911595
212,1599747622,2535887392,4256649986
213,4043623864,2294531535,3289733563
214,2539936511,688364618,2361153339
215,3573787810,538588790,756451745
216,4107696499,3329003798,2682786399
217,1863770798,1605679668,3217421934
218,3938792051,1749634539,2316548857
219,2576433708,2553084094,1803253412
220,1931534720,2837473118,1933632088
221,1481302495,1393474743,68940208
222,504004687,1573350683,1693838471
223,2825042473,916199019,3627090262
224,2730248325,2670436457,1296974154
225,1414245479,3167978488,754620705
226,2991895451,20514167,1490813179
227,437944854,3185507117,3650876858
228,165087239,2786280067,1295670160
229,1104604004,2828876959,2081919273
230,4286403709,3435813183,3762072687
231,714191013,418979198,2308773350
232,1534564151,2242338480,2890118782
233,857803805,2060076029,950794641
234,2819595281,4044273484,2649969078
235,862665949,202903620,4287794666
236,2592486758,1687708791,3028381196
237,3884908595,1381108690,3173707495
238,2686783140,3938754897,2563093125
239,1076244824,2841433990,2941026724
240,3488244638,50456757,1434793134
241,3100462795,3000867588,2644575016
242,547184123,156667014,316482281
243,3491831075,3335779357,1190613096
244,4244156955,35998499,334152559
245,2447225247,3115723880,915461497
246,3191654273,3027352675,739978119
247,3806516158,855498868,4060091435
248,2643166539,4006134697,347271362
249,3166533845,1509361942,1955750192
250,3867859249,2155083962,3378247028
251,3407849478,4140083061,1747801949
252,2450108705,1397524678,229292331
253,3345340022,206516087,2732065976
254,1193858091,2631800085,645319736
255,3410654631,3503176525,3895445308
256,3991743077,3233345536,3889298655
257,1424718123,1691724955,2953044597
258,3033487888,1210347999,1901027306
259,3257883467,2024866223,2378895696
260,4020436824,3123133795,49783083
261,3561154690,1353994551,3661897673
262,203894305,183797452,2914050904
263,3138446319,902052752,295511018
264,2579284141,2359226088,19243009
265,3429229368,2868844878,223129733
266,3138770127,1815974005,409320468
267,1659195723,2197822061,243955721
268,3223997635,2163417423,2914640445
269,1305640106,762880238,2220130318
270,4052702786,2177249682,2433585516
271,3794876563,1190753377,931771234
272,529864472,2828325257,308616796
273,70837818,1236031890,2174250389
274,1650807481,346174901,2953135861
275,398899400,3538460521,996706076
276,2557104206,391927669,1424990997
277,1693826306,2760604216,834031840
278,4107387051,1476178626,270427095
279,962972857,3974697943,3214764683
280,3107495790,3888779499,2804220846
281,2828623385,1684129586,57847803
282,2023088552,904172833,1539528770
283,3547763355,543736716,2358755152
284,1014613675,1845226397,3269069502
285,4048123889,3913296833,315378089
286,3430985345,2874103198,971238039
287,3973583469,3962501843,4015152670
288,2837926933,4066875049,3627588779
289,1582180403,2837784861,2795961130
290,2136618081,1007733144,1280843674
291,3816249247,4167981787,48210313
292,2610406529,2627757236,2253598071
293,2801444232,3932366738,1813662326
294,3635344454,3210654430,3233406261
295,1888515305,4069444071,2921584456
296,513633725,163141140,3236859473
297,3830500326,4272556743,3495597362
298,1124906081,496359371,3291558101
299,1813923861,2274723540,2559154257
300,4003135314,3287465397,2013785869
301,3999476727,759630803,3294692565
302,3788502887,107747629,2401927999
303,3048007680,4123790328,1724790909
304,3998941115,3287195861,1191966720
305,1674938301,708219760,3757958175
306,3819774758,2599648762,4121382357
307,3466432783,859191753,1145614282
308,3899183223,285159924,1069626068
309,3238757941,1313774719,4266403978
310,3234530224,2324835095,4072432222
311,3421135084,88300784,2600818595
312,2280969011,3367461396,3996691751
313,856052264,2836416322,3199375007
314,134030435,1950637496,1330296020
315,3471123116,899490375,2995175764
316,1701645994,2782557701,3219161913
317,40658407,2787251471,3564624286
318,696530056,1309883783,1359315269
319,2192199465,860360021,3445447946
320,3190898312,2383662886,1032575171
321,3341015975,4153883476,316819074
322,962743604,2108590782,4219532371
323,679784682,1908444385,415435457
324,3954714117,1732695738,1021519141
325,162202775,2322425637,2616934049
326,1641536787,4009894544,4226645016
327,2259658696,1621653569,2175488317
328,3584503761,2874137578,2232155963
329,4136637203,696648657,2946844385
330,1522794046,2515475049,908752740
331,304186690,2093202365,4096747725
332,319873706,1089054097,2692498495
333,1008295191,2430847950,3539021717
334,566033096,2238364259,2721928599
335,2191658359,2754929127,2164288635
336,3376307932,3065279625,1548697575
337,903228424,1297147741,2143091123
338,673808155,2426353794,2150446448
339,3380360874,1923632245,2284798040
340,762380625,1592840991,2289353576
341,3318518351,109139422,3520225130
342,586926141,926527639,1630887654
343,4064688982,1900182336,608950848
344,3089107869,2264089224,344686225
345,1857009568,1871061319,3962557430
346,1308547577,2981875233,2920678834
347,3654439541,2805108531,1644423132
348,3109962047,707573638,2630030983
349,3044008985,3636151935,3282104788
350,1598045790,3963843929,1149116224
351,268569126,2480461592,1636990381
352,2365591744,1632817351,1206218963
353,3038498672,4214779738,1571664777
354,3696823762,728278982,1500487408
355,3089988929,3749969201,2887977598
356,2158524116,2640326877,2630068492
357,2819709926,1889459190,2468174174
358,585165485,404781974,2526133185
359,2871062541,912531208,1168948765
360,1967715547,1671398026,863361626
361,2973277159,3496595,532456004
362,3462446066,3835801715,1703524335
363,851186340,2268647394,4064277154
364,3257367597,1486974444,3835528737
365,3855190962,3171507268,4041524704
366,1108126836,1981165387,1535025068
367,1948370655,1859229933,2695704458
368,1935283815,519874352,3185169988
369,1130463104,1091272888,1689628586
370,55345357,130470254,3379614128
371,2420226056,2518637383,2682312873
372,3449283609,1652456396,226988315
373,1972395709,2898070180,788746553
374,2468036430,3175081674,1320638793
375,17176929,3756620808,3014200585
376,4169187927,3968200058,2347581173
377,2995731962,3415599684,3231756198
378,2916923477,4250071223,2754713932
379,3011368918,1772618964,1082880606
380,1939391129,593161426,3756037118
381,2290843768,1251808883,3586729234
382,1614010033,406651939,2485059
383,918426281,856746954,3141495165
384,1236659319,345119979,943270093
385,1947581736,1939439323,3219832957
386,547902078,1077601149,1295649436
387,4187956892,687132329,27194224
388,473106461,1562518086,603774686
389,3948411555,3087285244,4094863120
390,3093980720,3741390931,1600135258
391,3878735917,538809946,472889453
392,351373639,1981072125,1643267590
393,1013993620,3081497000,4010459917
394,2945685149,613650092,3703666578
395,3109031035,3551456416,4117617416
396,1795130780,623060601,1808991246
397,700003236,2596808749,547229003
398,1650814117,774917853,4213500731
399,2196137856,1738143596,2390316153
400,313049086,243656838,2688239174
401,4033161751,2806384995,2863708262
402,164788612,586721471,18780087
403,3825375249,2903785665,3508378881
404,1335256951,3571334226,538964937
405,2885340793,3745684633,2930857633
406,2368552680,363476889,2796457817
407,482880770,3331464769,1595789107
408,4062605454,83417063,88116744
409,4097226573,4063102620,871922118
410,2846206578,246378099,1571374989
411,3076883022,4038200411,1501930058
412,1291200087,4185632219,2514037318
413,1083461852,3429760079,2426152564
414,4185779096,679686805,2416583059
415,702329726,1016891721,1336715506
416,997974922,893653576,2306830587
417,1068640455,301208885,2452178082
418,2236930195,44003112,85956285
419,1445671955,1429519539,2885996644
420,2989982599,2884985810,1711093246
421,3614489761,2032613105,880146016
422,3481247526,2490758787,333073134
423,2006192411,3381847296,327115466
424,2252198883,3957867809,1305829024
425,760179789,871101836,2488412583
426,2236102855,1251031404,938883189
427,205899426,1023483204,2605603342
428,2527214421,353751365,3412954560
429,1367264081,876225550,2705195627
430,1731612892,303297280,2701648544
431,3884702197,1346309215,2789352862
432,2173222602,1787131979,1404153932
433,980485847,583782124,3352677771
434,2112481204,3246779992,1236135752
435,2004551197,1377547359,2060567188
436,1773358712,3834243197,2041795439
437,1432282302,3070077799,3207508476
438,2266890522,1248236180,3011628814
439,1419456522,182206934,3368664984
440,2179723964,1003258427,2050891696
441,2120811126,593314316,3463416602
442,2468319731,2091683595,1697269199
443,4240475855,959772139,2845386641
444,2396146170,3874667482,578307563
445,2107326407,4072446548,1158279916
446,3523887572,2786532451,4170189715
447,919520408,101311592,3876354276
448,4152272698,3765413270,3741332726
449,4213950873,2233996010,2772457848
450,4203769314,3000235541,1754498696
451,3772003398,439262593,2604097696
452,1861013893,1296571735,2964910796
453,1292413180,788048087,1308947773
454,3491578048,1932039098,3667994840
455,3403086143,3667247464,3994367583
456,3830319409,2101481445,3025711518
