offset,value
0,1459903566
4,2727259016
8,1047262425
12,1615817796
16,937595546
20,1295562623
24,1478001615
28,3537121808
32,1136825802
36,1145131199
40,3678536860
44,998334998
48,3623982305
52,3682239559
56,2810113561
60,356809016
64,1024081177
68,3667229037
72,3324366320
76,1734218960
80,4082433988
84,4283432752
88,1109187200
92,2811246533
96,2620743349
100,1695136576
104,3165779664
108,2753030806
112,4041809642
116,2748964836
120,3318250661
124,1988189844
128,618794750
132,4164433602
136,3007592020
140,655376145
144,2203144674
148,1742917037
152,589443542
156,3444133378
160,4237676803
164,3176941706
168,2630216848
172,4070951628
176,482946661
180,1634229787
184,206059575
188,2718039653
192,1614082161
196,857848659
200,4036991866
204,3781923731
208,180120729
212,1794746321
216,3771220498
220,1226999587
224,917140369
228,4098182552
232,486759623
236,3896351890
240,529603656
244,2404485581
248,1918445217
252,553044315
256,2456205881
260,799347139
264,1090257018
268,2083169903
272,1017063075
276,379339334
280,3161882952
284,1782964953
288,2157336476
292,4250476626
296,2844816597
300,2131159860
304,3489450013
308,669365965
312,1330372424
316,373030489
320,2918900317
324,2419866855
328,1987770023
332,3399885305
336,1813853121
340,4184956575
344,1411308258
348,35121781
352,3538591626
356,1975124466
360,2375773814
364,2241471020
368,1896613369
372,2636088852
376,968042727
380,2272861758
384,3163934086
388,1670616328
392,3480610005
396,2692322448
400,3980088454
404,1228780734
408,2892745076
412,1939793308
416,798465310
420,1394499774
424,3803121861
428,646190731
432,636283338
436,2426112629
440,1721328053
444,789043279
448,2646656193
452,2116206946
456,737169519
460,3957004205
464,2259346430
468,336981593
472,1034640998
476,3627233947
480,3899544949
484,3352116964
488,3092659198
492,654167774
496,49210122
500,3636262606
504,3995713238
508,859819239
512,2615911044
516,3735874312
520,198269662
524,3865665143
528,2769013198
532,2141469800
536,3650883311
540,1455905501
544,1469027454
548,2154257545
552,1893076461
556,2597867388
560,3784379861
564,2618411000
568,1028583798
572,1080469294
576,759714082
580,2417002052
584,2264740324
588,821314643
592,981671980
596,3180562831
600,780826775
604,1917898972
608,3021336995
612,2618065469
616,550403178
620,2729257299
624,1567795017
628,2442411882
632,3500407381
636,666057012
640,780849390
644,1813509012
648,1823340018
652,2108219498
656,2834167771
660,3100271050
664,5862505
668,3797004331
672,1008410603
676,1122515158
680,203842527
684,2834497089
688,2069820932
692,1361708585
696,877263931
700,153322150
704,2471903468
708,1525762877
712,2564996435
716,26999827
720,361495386
724,25350453
728,402740560
732,1257677442
736,387062111
740,3317828237
744,939222522
748,2615884613
752,1383846242
756,978368000
760,1934726168
764,3008065242
768,2051143148
772,1642193586
776,164057397
780,460160225
784,2554976374
788,4097729587
792,3836230477
796,1493270538
800,3220877553
804,2971842703
808,4268434889
812,1736098785
816,3219743175
820,3455876509
824,3508028076
828,3272070655
832,4278933887
836,767119005
840,3583716071
844,2339054532
848,890006428
852,3750178035
856,3637399503
860,274436348
864,3631451887
868,2639321029
872,1532682635
876,2214548457
880,1857743452
884,3378770567
888,3360456763
892,2052955898
896,3751985467
900,3691410708
904,2220434863
908,2079357336
912,1924090225
916,3166038454
920,125683789
924,3582921479
928,4170805061
932,1874233719
936,1971833167
940,2959300169
944,2438388352
948,2427859317
952,4047506227
956,3988637117
960,1192677854
964,3066303120
968,4123430783
972,90328487
976,4277221944
980,831787874
984,500928937
988,2294475790
992,575058131
996,3369740776
1000,3347126071
1004,2487518130
1008,2640671087
1012,591118227
1016,2281141299
1020,228370595
1024,1168540091
1028,548322010
1032,1269748051
1036,2293276867
1040,2394110689
1044,3430783318
1048,3200873875
1052,4290427944
1056,3097777682
1060,131078778
1064,629378673
1068,1196407094
1072,3843833589
1076,3695740648
1080,3550647413
1084,3790168098
1088,3198279800
1092,1041795988
1096,1621099175
1100,3724413367
1104,1596716082
1108,3698934685
1112,2757436746
1116,3342754685
1120,2644558584
1124,230930334
1128,2080171122
1132,728133258
1136,289788096
1140,170355580
1144,1144033011
1148,470930175
1152,560817713
1156,3032813588
1160,779372557
1164,2875387118
1168,2306450528
1172,2447627026
1176,3648505961
1180,2763795848
1184,821733848
1188,950881080
1192,2970147840
1196,518961368
1200,1842687665
1204,2075806562
1208,3531111383
1212,2400055993
1216,588654223
1220,1043398865
1224,3297167883
1228,1861376537
1232,2316840928
1236,541976792
1240,939276301
1244,155111259
1248,2243912795
1252,1891964610
1256,2100911523
1260,2342721937
1264,1136568919
1268,594390099
1272,3982598815
1276,675150509
1280,613484849
1284,2951338636
1288,1901018273
1292,3486152868
1296,2016576269
1300,1635931196
1304,2753478502
1308,2582668648
1312,1822022932
1316,522777920
1320,137138914
1324,1365501268
1328,2726486627
1332,2177813497
1336,3496135511
1340,2459062426
1344,254231837
1348,3883811620
1352,568355091
1356,2657967252
1360,2783664786
1364,2074785027
1368,746616173
1372,452424395
1376,564785267
1380,2268709896
1384,4063426059
1388,3376397130
1392,2218249859
1396,4150453178
1400,3694546631
1404,2010807890
1408,2953957980
1412,2781684667
1416,3792618791
1420,29647151
1424,324481886
1428,488085766
1432,1085629343
1436,1329340112
1440,2871805703
1444,2847113955
1448,3014164072
1452,3304529218
1456,3239232980
1460,2603980488
1464,3182623234
1468,4177854941
1472,1867789159
1476,1112080345
1480,478769881
1484,385160819
1488,3540133828
1492,2472697251
1496,126404388
1500,4151421048
1504,1289373430
1508,687831081
1512,3905260213
1516,3816466132
1520,4215673016
1524,1661571226
1528,1285645399
1532,1464143844
1536,2312088288
1540,3403502039
1544,3759576338
1548,3680223254
1552,2183682027
1556,2904026130
1560,3771479010
1564,1624990448
1568,406164007
1572,192093933
1576,3524081971
1580,171461854
1584,498226497
1588,1220078347
1592,818227014
1596,2171448310
1600,465986440
1604,3411691423
1608,1723904793
1612,547939336
1616,3900880875
1620,2950900781
1624,3861645022
1628,3561842225
1632,4255672645
1636,3376093268
1640,3019648857
1644,3339141227
1648,1742254511
1652,141636681
1656,811289157
1660,644161800
1664,2460471228
1668,2486466501
1672,2522906061
1676,2728746965
1680,2014638263
1684,3045801215
1688,3033323323
1692,1063426759
1696,752668248
1700,2797505245
1704,1370920597
1708,427426867
1712,3475136924
1716,1204733046
1720,318150054
1724,3104744159
1728,4079459107
1732,110195359
1736,3304940694
1740,3847656728
1744,4110837631
1748,1107947025
1752,1158056800
1756,1622224265
1760,3585745558
1764,1253257003
1768,2864515718
1772,3788897721
1776,3509010457
1780,3359448567
1784,384884803
1788,1150064318
1792,3141966327
1796,2379733485
1800,4071907795
1804,2598918489
1808,3566461215
1812,2053865202
1816,1847552981
1820,3390284099
1824,442244821
1828,976585871
1832,3377130328
1836,3014040608
1840,2342082192
1844,617537693
1848,1851522530
1852,3135613144
1856,610942388
1860,1464361356
1864,2143462145
1868,1756703744
1872,1697532783
1876,2599833935
1880,3883051498
1884,133708209
1888,3465486303
1892,2554918898
1896,2752334661
1900,2249364660
1904,2791797499
1908,3434640521
1912,2546714910
1916,3399842963
1920,61227360
1924,2206417556
1928,4038819597
1932,737033554
1936,3056927076
1940,2487222485
1944,1035818555
1948,2091161913
1952,4260531693
1956,574015814
1960,669392737
1964,3109232110
1968,55183692
1972,2943329487
1976,3137881742
1980,1380038094
1984,298837541
1988,363392290
1992,1386281666
1996,912538442
2000,2304855701
2004,1132750863
2008,2801094952
2012,4041322170
2016,2455843120
2020,979602012
2024,3435857514
2028,1155041100
2032,1832984875
2036,1106448409
2040,4146573876
2044,3666994382
2048,582342172
2052,2313214662
2056,945583399
2060,1122037295
2064,739157969
2068,1749582401
2072,2228860564
2076,1884688
2080,1373467564
2084,3212407092
2088,1944310060
2092,2124166383
2096,3460497346
2100,1562964912
2104,3602703710
2108,2484776442
2112,3909817185
2116,2810763275
2120,3444695746
2124,1678741010
2128,1521699920
2132,2521417554
2136,3731959641
2140,889719217
2144,2320240188
2148,40737363
2152,2047327439
2156,2248427422
2160,2995275926
2164,1311050104
2168,2174581149
2172,3987211361
2176,3716943425
2180,2110222080
2184,2204762428
2188,441423863
2192,1206446530
2196,585421658
2200,1404884373
2204,3803930490
2208,828894435
2212,3108078951
2216,3072492717
2220,3442644326
2224,242487631
2228,544592726
2232,1037763259
2236,3539774339
2240,621587622
2244,2981638040
2248,2768149738
2252,1850032900
2256,1788562640
2260,554825525
2264,378208210
2268,2016699071
2272,3093001970
2276,3490861300
2280,144651405
2284,1008355255
2288,3028638761
2292,1252902428
2296,2839322665
2300,307570605
2304,2910293567
2308,870363008
2312,1542802742
2316,3550445969
2320,1959220247
2324,3674756759
2328,1105005138
2332,2354012207
2336,2021648012
2340,434869136
2344,3173175272
2348,1711890528
2352,36438539
2356,1070681817
2360,8906794
2364,2236777126
2368,272000647
2372,3154418160
2376,3776856797
2380,284842624
2384,1460586556
2388,1311004081
2392,3666399699
2396,3576193045
2400,1081568075
2404,4083729633
2408,2495644472
2412,1955599583
2416,2960360418
2420,3843092476
2424,753306872
2428,825353199
2432,3993592095
2436,3658852662
2440,2119041836
2444,2905458092
2448,204568262
2452,3414060231
2456,3775354579
2460,1884405794
2464,501031306
2468,2319241218
2472,1553160212
2476,647817936
2480,3955990671
2484,2430182962
2488,3829694502
2492,688900872
2496,3543526606
2500,2772076502
2504,383049296
2508,1485857786
2512,1301938861
2516,1213915636
2520,3522660549
2524,2887573611
2528,3442313733
2532,3757678809
2536,2634294913
2540,699276854
2544,680718004
2548,1405089446
2552,4113679934
2556,2858280985
2560,2435982636
2564,3282870891
2568,3152426873
2572,827889894
2576,236644770
2580,834378894
2584,2528018389
2588,1228226479
2592,1490247148
2596,3725733833
2600,3431532145
2604,1473984947
2608,4189576892
2612,3237088726
2616,1373311606
2620,4009976571
2624,4165293907
2628,3258678416
2632,2036817689
2636,2722347945
2640,2353980003
2644,1647977773
2648,1754996152
2652,1420874717
2656,2811006782
2660,3720577487
2664,287635098
2668,918114377
2672,1233090545
2676,1318838909
2680,1454413092
