ID,Название,Ключи,Данные
0,ОБНОВИТЬ,"DlO`, 8M",1459903566 2727259016 1047262425
1,НАВЫК,8yD,1136825802 1145131199 3678536860
2,СОКРОВИЩЕ,^g,1024081177 3667229037 3324366320
3,ВЕТКА,,2620743349 1695136576 3165779664
4,ГЕРОЙ,"QQ, 1""#, NI",618794750 4164433602 3007592020
5,ДМГ,"e., ^ha78H",4237676803 3176941706 2630216848
6,ОБЩИЙ,"""I",1614082161 857848659 4036991866
7,РЕДКИЙ,&Yr[,917140369 4098182552 486759623
8,ЭПИК,"*|, <FB, Ej",2456205881 799347139 1090257018
9,МИФИЧЕСКИЙ,"'H, KOY",2157336476 4250476626 2844816597
10,ФАЗА 1,"^q, Tu",2918900317 2419866855 1987770023
11,ФАЗА 2,","", 9>",3538591626 1975124466 2375773814
12,ФАЗА 3,"T;, =It",3163934086 1670616328 3480610005
13,вы получили: {2},"%u, fO",798465310 1394499774 3803121861
14,Зайдите в [,"f^, 23",2646656193 2116206946 737169519
15,имя,?3,3899544949 3352116964 3092659198
16,коллекции,"w^i, h<",2615911044 3735874312 198269662
17,зала,"|O, N=., f@",1469027454 2154257545 1893076461
18,чтобы проверить!,"SD, 0, , Pr",759714082 2417002052 2264740324
19,вы получили: {1}. Зайдите в [,"S), r]j?, 49",3021336995 2618065469 550403178
20,ПОЛУЧИТЬ НАВЫКИ: {0} {1},itY,780849390 1813509012 1823340018
21,получил {0},"^{), *Q;, I4",1008410603 1122515158 203842527
22,потерял {0},PU,2471903468 1525762877 2564996435
23,получил,"E;, {R, P:, Qs, nK",387062111 3317828237 939222522
24,потерян,"|m, 3d>, M;",2051143148 1642193586 164057397
25,Выручка за этот раунд,zg,3220877553 2971842703 4268434889
26,БАЗОВЫЙ,#k,4278933887 767119005 3583716071
27,ПОБЕДА,]z,3631451887 2639321029 1532682635
28,ПОРАЖЕНИЕ,{qI,3751985467 3691410708 2220434863
29,ИНТЕРЕС,"IVc, u1",4170805061 1874233719 1971833167
30,ГАЛСТУК!!!,"Mb, 8:",1192677854 3066303120 4123430783
31,раунд [{0}]?-- противник [,"oqe, ;#3t",575058131 3369740776 3347126071
32,Можно использовать только на этапе подготовки!,,1168540091 548322010 1269748051
33,Недостаточно,"OG, ""`",3097777682 131078778 629378673
34,исчерпан,"+_, Cy, J%[, }c>",3198279800 1041795988 1621099175
35,Нет навыков,"nf+, |k', 0D",2644558584 230930334 2080171122
36,Не удалось получить,,560817713 3032813588 779372557
37,Нет,"mbK, {x",821733848 950881080 2970147840
38,доступен для копирования,"M , 7[",588654223 1043398865 3297167883
39,Это,"CS, m#, =(",2243912795 1891964610 2100911523
40,был использован!,"2x<T, af, he",613484849 2951338636 1901018273
41,Использований не осталось!,cQc,1822022932 522777920 137138914
42,был использован в этом раунде.,"\m, {mu",254231837 3883811620 568355091
43,Вы не изучили никакую,"N6, R~",564785267 2268709896 4063426059
44,Можно использовать только при не полном,"/a, ^3W, <O",2953957980 2781684667 3792618791
45,РАУНД-{0},,2871805703 2847113955 3014164072
46,раунд---,]b,1867789159 1112080345 478769881
47,Общий урон игрока увеличен! Минимальный урон увеличен до {0}!!!!,"cWd, EW",1289373430 687831081 3905260213
48,"Матч завершился. Нажмите [ВЫХОД], чтобы вернуться!",W(,2312088288 3403502039 3759576338
49,покинул игру!,"L8, AU, HF'",406164007 192093933 3524081971
50,Восстановление соединения..,"-,, 1fM",465986440 3411691423 1723904793
51,Текущая битва превысила лимит времени. Игрок с более высоким процентом оставшегося,"k@, gI4q, EJ[0, !e&",4255672645 3376093268 3019648857
52,станет победителем!!!,b?,2460471228 2486466501 2522906061
53,Битва продолжается слишком долго,"a""",752668248 2797505245 1370920597
54,теперь оно будет ускорено!,B`,4079459107 110195359 3304940694
55,ВЫБЕРИТЕ,@',3585745558 1253257003 2864515718
56,Подготовка к битве,"YY, ~kz, nC",3141966327 2379733485 4071907795
57,Битва скоро начнется,[n,442244821 976585871 3377130328
58,ОППОНЕНТ ПОДТВЕРЖДАЕТ,hoK.eOQ,610942388 1464361356 2143462145
59,ВРЕМЯ ВЫШЛО,rg,3465486303 2554918898 2752334661
60,БИТВА,"R=, +d, ;V, =9",61227360 2206417556 4038819597
61,БИТВА ЗАКОНЧЕНА,AR,4260531693 574015814 669392737
62,Увеличение магического урона:,"J;d6, Na, C(Q",298837541 363392290 1386281666
63,Всего,"D+!Am, A4",2455843120 979602012 3435857514
64,Разграблено:,",A, Hh",582342172 2313214662 945583399
65,Бонус:,(]^,1373467564 3212407092 1944310060
66,Итого,"dPL, ZR, Y/q",3909817185 2810763275 3444695746
67,Доход:,%N,2320240188 40737363 2047327439
68,Расходы:,"GZ, Sz_",3716943425 2110222080 2204762428
